"","station","log","lat","type","dist","elevation"
"265",336354,127.7196,35.02,"주거지역",0,12
"981",336355,127.5823,34.9808,"공공시설지역",0,24
"95",336131,127.4891,34.9476,"주거지역",0,16
"982",336132,127.5186,34.9471,"공공시설지역",0,13
"983",336133,127.5098,34.8855,"기타나지",0,4
"984",336134,127.573,34.8935,"침엽수림",0,20
"985",336135,127.5484,34.9364,"논",0,8
"41",336111,126.3916,34.806,"주거지역",0,5
"413",336112,126.4346,34.8043,"상업지역",0,5
"414",336441,126.4392,34.7668,"공공시설지역",0,4
"2041",336141,126.7904,35.0217,"주거지역",0,29
"189",336151,126.9882,35.321,"주거지역",0,53
"188",336161,126.7854,35.3032,"주거지역",0,48
"60",336361,126.5992,34.5652,"주거지역",0,33
"184",336461,126.512,35.278,"공공시설지역",0,44
"63",336471,126.9067,34.675,"기타나지",0,24
"70",336481,126.2688,34.4793,"밭",0,15
"80",336491,126.8286,34.3344,"논",0,11
"200",336501,126.5228,35.0621,"주거지역",0,11
"2051",336452,126.9859,35.0653,"공공시설지역",0,86
"112",336511,127.2807,34.6063,"공공시설지역",0,33
"37",336521,126.1261,34.7555,"밭",0,22
"39",336531,126.4765,34.9905,"공공시설지역",0,17
"62",336541,126.7707,34.6446,"주거지역",0,23
"259",336561,127.461,35.2157,"상업지역",0,50
"244",336551,127.2899,35.2833,"공공시설지역",0,76
"96",336571,127.347,34.8415,"논",0,7
"338",437112,129.3681,35.9918,"공업지역",0,7
"567",437113,129.364,36.0318,"상업지역",0,4
"5671",437114,129.3658,36.0188,"주거지역",0,5
"3381",437115,129.36,35.9684,"공공시설지역",0,13
"339",437116,129.3768,35.9631,"기타나지",0,77
"568",437117,129.3756,36.0301,"공공시설지역",0,3
"3391",437118,129.4087,35.9668,"기타나지",0,22
"3392",437119,129.4054,35.9974,"상업지역",0,6
"528",437151,128.3858,36.1019,"공업지역",0,31
"525",437152,128.3258,36.1308,"공공시설지역",0,48
"527",437153,128.3386,36.1108,"주거지역",0,63
"526",437154,128.4394,36.1372,"내륙습지",0,36
"521",437131,128.0884,36.1446,"기타나지",0,84
"522",437132,128.1372,36.1441,"공업지역",0,67
"524",437133,128.1839,36.1215,"논",0,70
"337",437122,129.2076,35.8507,"공공시설지역",0,39
"340",437123,129.287,35.8351,"공공시설지역",0,110
"335",437124,129.227,35.9907,"주거지역",0,15
"3481",437125,129.3236,35.7157,"주거지역",0,92
"500",437141,128.7281,36.5643,"공공시설지역",0,97
"483",437161,128.6217,36.8098,"교통시설지역",0,140
"2814",437171,128.7433,35.825,"주거지역",0,61
"506",437181,128.1578,36.4289,"주거지역",0,60
"275",437191,128.4185,35.9907,"밭",0,43
"283",437402,128.9378,35.9729,"상업지역",0,93
"542",437421,129.4029,36.9972,"주거지역",0,12
"740",437431,129.0653,37.0486,"주거지역",0,496
"570",437542,130.9056,37.4841,"주거지역",0,37
"290",437551,128.2817,35.7262,"활엽수림",0,81
"557",437201,129.3638,36.4201,"밭",0,17
"516",437412,128.697,36.3527,"공공시설지역",0,96
"529",437561,128.5746,36.2379,"논",0,81
"274",437221,128.2901,35.9175,"상업지역",0,37
"496",437581,128.4732,36.5768,"밭",0,101
"295",437591,128.7063,35.6498,"주거지역",0,108
"553",735601,129.0564,36.4293,"상업지역",0,197
"545",437571,129.1124,36.6667,"공공시설지역",0,243
"492",437211,128.1862,36.5868,"공공시설지역",0,84
"326",238111,128.5739,35.2181,"주거지역",0,31
"3261",238112,128.6025,35.2176,"공업지역",0,4
"327",238141,128.644,35.2403,"혼효림",0,41
"3271",238142,128.6575,35.2115,"공업지역",0,20
"3272",238143,128.6833,35.207,"공업지역",0,24
"3273",238144,128.684,35.2363,"밭",0,41
"3274",238146,128.6983,35.2217,"주거지역",0,44
"3275",238151,128.6895,35.155,"주거지역",0,10
"3262",238152,128.5629,35.1831,"공공시설지역",0,11
"318",238131,128.0781,35.1983,"주거지역",0,32
"3181",238132,128.0837,35.1921,"주거지역",0,40
"3182",238133,128.1225,35.1809,"공공시설지역",0,25
"268",238161,127.7514,35.0677,"공공시설지역",0,7
"3313",238181,128.8834,35.2369,"주거지역",0,15
"3314",238182,128.9118,35.2443,"공공시설지역",0,37
"330",238183,128.8072,35.2024,"주거지역",0,19
"313",238184,128.7312,35.3078,"기타나지",0,7
"148",238201,128.6909,34.8648,"공공시설지역",0,40
"3541",238361,129.041,35.3458,"주거지역",0,17
"3531",238362,129.172,35.4144,"주거지역",0,87
"320",238211,128.0912,35.0828,"주거지역",0,17
"314",238401,128.7542,35.4937,"주거지역",0,22
"144",238411,128.4324,34.8572,"주거지역",0,7
"141",238421,128.3243,34.9745,"상업지역",0,19
"235",238431,127.9039,35.688,"주거지역",0,203
"309",238441,128.4081,35.2723,"상업지역",0,15
"233",238451,127.725,35.5203,"공공시설지역",0,172
"105",238461,127.899,34.8319,"논",0,12
"250",238471,127.8741,35.415,"주거지역",0,103
"308",238491,128.2538,35.3158,"기타나지",0,18
"293",238501,128.4905,35.5438,"밭",0,64
"289",238511,128.1576,35.5661,"주거지역",0,35
"4",339111,126.5324,33.5001,"공공시설지역",0,66
"6",339112,126.5001,33.4886,"공공시설지역",0,100
"17",339121,126.5671,33.2614,"과수원",0,85
"11",339122,126.9101,33.4602,"밭",0,15
"14",339131,126.2475,33.2279,"주거지역",0,11
"20",339123,126.7149,33.2843,"주거지역",0,30
"5796",111122,126.9704,37.5491,"상업지역",0,28
"5797",111124,126.9981,37.5686,"주거지역",0,30
"5798",111125,126.9965,37.5709,"상업지역",0,27
"6229",111143,127.042,37.5387,"공공시설지역",0,18
"62210",111153,127.0079,37.5655,"기타초지",0,32
"62211",111154,127.0444,37.5805,"공공시설지역",0,23
"62212",111162,127.0049,37.6067,"공업지역",0,86
"5799",111202,126.9377,37.5545,"상업지역",0,32
"5787",111213,126.8247,37.5602,"논",0,12
"57910",111232,126.9046,37.5193,"상업지역",0,20
"59010",111242,126.9803,37.4854,"주거지역",0,19
"62213",111263,127.0203,37.516,"공공시설지역",0,38
"6363",111264,127.0357,37.4818,"상업지역",0,40
"6234",111275,127.1393,37.5341,"주거지역",0,31
"62214",111312,127.0751,37.6177,"상업지역",0,21
"59011",111282,126.8987,37.475,"교통시설지역",0,36
"35911",221162,129.0778,35.2067,"교통시설지역",0,14
"35912",221131,129.0463,35.1267,"기타초지",0,8
"3614",221901,129.0557,35.1228,"교통시설지역",0,5
"3321",221902,128.8343,35.075,"교통시설지역",0,-32768
"2805",422113,128.5913,35.8654,"상업지역",0,61
"2806",422202,128.5115,35.8512,"교통시설지역",0,34
"2782",422133,128.5625,35.8803,"기타나지",0,33
"5869",823633,126.6908,37.4578,"교통시설지역",0,29
"58610",823634,126.7242,37.5,"공공시설지역",0,17
"58611",823703,126.6372,37.4819,"교통시설지역",0,11
"58612",823612,126.6312,37.4605,"교통시설지역",0,9
"58613",823636,126.7068,37.4406,"밭",0,11
"2023",324123,126.8533,35.1516,"교통시설지역",0,30
"2024",324134,126.8569,35.1761,"기타재배지",0,18
"4485",525151,127.4183,36.3239,"교통시설지역",0,62
"4474",525173,127.3542,36.3511,"교통시설지역",0,44
"3508",238126,129.301,35.5333,"교통시설지역",0,26
"6373",131125,127.1291,37.4332,"교통시설지역",0,31
"6364",131120,127.1026,37.3825,"주거지역",0,58
"6386",131116,127.0307,37.2765,"상업지역",0,54
"5788",831155,126.7584,37.5053,"교통시설지역",0,11
"5789",131383,126.7779,37.652,"내륙수",2995.61521854902,23
"5917",131198,126.8281,37.3167,"기타나지",0,10
"6387",131414,127.1137,37.2753,"교통시설지역",0,63
"6524",131532,127.0521,37.1711,"논",0,34
"6235",131245,127.163,37.6088,"교통시설지역",0,31
"631",132119,127.7208,37.5656,"밭",0,125
"4304",533116,127.447,36.6344,"교통시설지역",0,54
"4121",534114,127.1323,36.8393,"교통시설지역",0,49
"2091",735116,127.1324,35.8375,"교통시설지역",0,39
"3276",238145,128.6647,35.2342,"기타나지",0,22
"3",339211,126.48,33.4857,"기타초지",0,67
"572",831492,124.634,37.9647,"해양수",135510.861442209,55
"5701",437541,130.7967,37.5223,"해양수",0,-32768
"12",339312,126.1622,33.2925,"기타초지",0,55
"5742",831481,126.2835,37.7054,"연안습지",12033.9442176271,23
"594",831491,126.1493,37.233,"공공시설지역",0,193
"660",131441,127.5536,37.1375,"혼효림",0,151
"7452",131451,127.2526,38.1238,"위락시설지역",0,163
"5776",131373,126.7311,37.9062,"혼효림",21472.9460194424,53
"7541",632421,128.3852,38.2874,"혼효림",18029.3885753229,662
"7501",132401,127.9586,38.2244,"혼효림",11032.9148864037,294
"7081",632371,128.6648,37.4302,"공공시설지역",0,385
"702",632431,128.1251,37.3601,"밭",0,404
"437",633361,127.8047,36.7309,"공공시설지역",0,165
"4171",633461,127.6045,36.9941,"기타나지",0,111
"427",534341,127.0309,36.5263,"공공시설지역",0,117
"377",534461,126.1344,36.7382,"공공시설지역",0,16
"225",735351,127.1863,35.6105,"침엽수림",0,212
"169",735172,126.5592,35.6971,"공공시설지역",0,14
"255",336451,127.1751,35.1769,"밭",0,339
"5571",437371,129.287,36.4477,"과수원",0,103
"536",437401,128.9278,36.1127,"주거지역",0,178
"512",437411,128.4564,36.3688,"논",0,56
"2351",238481,127.9102,35.6432,"주거지역",0,202
"3131",238241,128.6757,35.3731,"기타나지",0,9
"155",238191,128.5873,34.7101,"침엽수림",0,89
"57911",111201,126.9456,37.5498,"공공시설지역",0,21
"62215",111142,127.0419,37.5432,"기타초지",0,15
"62216",111141,127.0925,37.5472,"공공시설지역",0,44
"59012",111221,126.8897,37.4985,"기타나지",0,18
"62217",111273,127.1165,37.5218,"공공시설지역",0,23
"6365",111265,127.0337,37.4646,"혼효림",0,43
"35913",221152,129.064,35.1531,"공공시설지역",0,14
"35914",221251,129.0927,35.2298,"주거지역",0,21
"35915",221182,129.0197,35.2161,"주거지역",0,26
"35916",221221,129.0783,35.1847,"공공시설지역",0,13
"3315",221181,128.9842,35.1462,"공공시설지역",0,8
"35917",221132,129.1078,35.1527,"공공시설지역",0,51
"2807",422114,128.5841,35.8743,"기타나지",0,41
"2808",422141,128.5711,35.8455,"공공시설지역",0,76
"2815",422115,128.6316,35.8305,"공공시설지역",0,80
"2809",422132,128.5453,35.8696,"기타나지",0,58
"58614",823611,126.6348,37.4684,"공공시설지역",0,20
"58615",823631,126.7241,37.4496,"주거지역",0,31
"58616",823641,126.7243,37.5,"공공시설지역",0,17
"5769",823651,126.6778,37.5427,"교통시설지역",0,31
"58617",823671,126.6963,37.4089,"공업지역",0,8
"2034",324121,126.8885,35.1549,"공공시설지역",0,51
"2035",324122,126.9088,35.148,"위락시설지역",0,51
"2036",324133,126.9322,35.1739,"공공시설지역",0,63
"2025",324135,126.8603,35.2293,"공업지역",0,27
"2052",324124,126.8961,35.099,"논",0,73
"2042",324148,126.7696,35.1238,"하우스재배지",0,15
"4486",525121,127.4378,36.3161,"주거지역",0,61
"4475",525171,127.3667,36.3045,"상업지역",0,56
"4476",525141,127.3739,36.3724,"교통시설지역",0,50
"4487",525111,127.4172,36.3728,"공업지역",0,48
"3509",238123,129.3593,35.5164,"공업지역",0,19
"35010",238124,129.3258,35.5261,"공공시설지역",0,10
"35011",238127,129.3081,35.5347,"주거지역",0,26
"3564",238128,129.3145,35.4348,"상업지역",0,32
"3512",238381,129.4267,35.5088,"주거지역",0,34
"6206",131132,127.0477,37.7463,"공공시설지역",0,49
"3721",131343,126.8455,36.9746,"공업지역",0,8
"5918",131192,126.8122,37.3346,"상업지역",0,14
"6388",131111,127.0105,37.2838,"공공시설지역",0,65
"6141",131611,127.5098,37.8312,"공공시설지역",0,70
"6581",131582,127.2699,37.0006,"주거지역",0,30
"6073",131459,127.1865,37.8487,"주거지역",0,124
"6132",132115,127.7445,37.9581,"공공시설지역",0,109
"6133",132116,127.7306,37.8817,"공공시설지역",0,107
"6134",132112,127.7205,37.8756,"주거지역",0,83
"616",132117,127.7504,37.8775,"주거지역",0,103
"6491",632123,127.9423,37.3755,"공업지역",0,113
"6501",132501,127.7985,37.2885,"공업지역",0,58
"4305",533112,127.4368,36.6447,"공업지역",0,48
"7211",633311,128.2957,37.0334,"주거지역",0,164
"4122",534111,127.1521,36.8143,"주거지역",0,48
"4181",534433,127.7164,36.9765,"혼효림",0,362
"3641",534421,126.3683,36.9917,"상업지역",0,12
"2084",735111,127.1218,35.799,"공공시설지역",0,40
"1015",336127,127.6524,34.7774,"밭",0,33
"1016",336123,127.6655,34.7635,"상업지역",0,11
"986",336129,127.582,34.8808,"주거지역",0,9
"3382",437112,129.3681,35.9918,"공업지역",0,7
"5672",437113,129.364,36.0318,"상업지역",0,4
"3383",437115,129.36,35.9684,"공공시설지역",0,13
"3393",437116,129.3768,35.9631,"기타나지",0,77
"7401",437431,129.0653,37.0486,"주거지역",0,496
"3277",238141,128.644,35.2403,"혼효림",0,41
"3263",238112,128.6025,35.2176,"공업지역",0,4
"2681",238161,127.7514,35.0677,"공공시설지역",0,7
"57912",111181,126.9348,37.6098,"교통시설지역",0,43
"3615",221141,129.0799,35.0598,"침엽수림",0,51
"35918",221153,129.0479,35.1579,"상업지역",0,17
"35919",221173,129.1081,35.1348,"공공시설지역",0,10
"3551",221232,129.1386,35.36,"기타나지",0,136
"35920",221252,129.0827,35.2352,"공공시설지역",0,55
"2783",422156,128.6083,35.891,"공공시설지역",0,53
"28010",422141,128.5711,35.8455,"공공시설지역",0,76
"58618",823631,126.7137,37.4496,"주거지역",0,27
"5743",831481,126.2835,37.7054,"연안습지",12033.9442176271,23
"7453",131451,127.2526,38.1238,"위락시설지역",0,163
"6401",131391,127.2504,37.4192,"주거지역",0,55
"6402",131393,127.2587,37.435,"공공시설지역",0,131
"5896",831151,126.7999,37.48,"주거지역",0,44
"5927",131223,126.976,37.3477,"주거지역",0,63
"6389",131111,127.0105,37.2838,"공공시설지역",0,65
"6411",131431,127.4077,37.4949,"활엽수림",0,46
"1017",336126,127.675,34.8333,"공업지역",0,6
"991",336356,127.6595,34.9102,"주거지역",0,11
"2682",238161,127.7514,35.0677,"공공시설지역",0,7
"62218",111261,127.0481,37.5176,"공공시설지역",0,50
"57913",111122,126.9704,37.5491,"상업지역",0,28
"62219",111141,127.0925,37.5472,"공공시설지역",0,44
"35921",221182,129.0197,35.2161,"주거지역",0,26
"35922",221221,129.0783,35.1847,"공공시설지역",0,13
"28011",422141,128.5711,35.8455,"공공시설지역",0,76
"2816",422161,128.64,35.8653,"공공시설지역",0,64
"58619",823631,126.7241,37.4496,"주거지역",0,31
"57610",823651,126.6782,37.5489,"주거지역",0,37
"5744",831481,126.2835,37.7054,"연안습지",12033.9442176271,23
"2037",324121,126.8885,35.1549,"공공시설지역",0,51
"2026",324149,126.7966,35.186,"공업지역",0,34
"4477",525141,127.3739,36.3724,"교통시설지역",0,50
"35012",238127,129.3081,35.5347,"주거지역",0,26
"35013",238123,129.3593,35.5164,"공업지역",0,19
"3513",238381,129.4267,35.5088,"주거지역",0,34
"5882",131231,126.7401,37.3468,"기타나지",0,8
"5928",131223,126.976,37.3477,"주거지역",0,63
"63810",131111,127.0105,37.2838,"공공시설지역",0,65
"6142",131611,127.5098,37.8312,"공공시설지역",0,70
"6582",131582,127.2699,37.0006,"주거지역",0,30
"6074",131459,127.1865,37.8487,"주거지역",0,124
"6151",132113,127.7495,37.8571,"공공시설지역",0,90
"7502",132401,127.9586,38.2244,"혼효림",11032.9148864037,294
"4306",533112,127.4596,36.6404,"주거지역",0,72
"4307",633212,127.4306,36.7104,"공공시설지역",0,51
"3771",534461,126.1344,36.7382,"공공시설지역",0,16
"4123",534111,127.1521,36.8143,"주거지역",0,48
"3642",534421,126.3683,36.9917,"상업지역",0,12
"4182",534433,127.7164,36.9765,"혼효림",0,362
"2085",735111,127.1218,35.799,"공공시설지역",0,40
"1603",735122,126.6514,35.9733,"공업지역",0,6
"2251",735351,127.1863,35.6105,"침엽수림",0,212
"1018",336127,127.6524,34.7774,"밭",0,33
"992",336352,127.6977,34.9399,"공공시설지역",0,13
"415",336449,126.4525,34.7575,"기타나지",0,4
"3384",437115,129.36,35.9684,"공공시설지역",0,13
"5261",437155,128.4386,36.1415,"공업지역",0,54
"3278",238141,128.644,35.2403,"혼효림",0,41
"3264",238112,128.6025,35.2176,"공업지역",0,4
"145",238202,128.6048,34.8885,"기타나지",0,47
"57914",111181,126.9348,37.6098,"교통시설지역",0,43
"62220",111141,127.0925,37.5472,"공공시설지역",0,44
"35923",221182,129.0197,35.2161,"주거지역",0,26
"35924",221221,129.0783,35.1847,"공공시설지역",0,13
"2817",422115,128.6316,35.8305,"공공시설지역",0,80
"28012",422141,128.5711,35.8455,"공공시설지역",0,76
"58620",823631,126.7241,37.4496,"주거지역",0,31
"5745",831481,126.2835,37.7054,"연안습지",12033.9442176271,23
"5941",831491,126.1493,37.233,"공공시설지역",0,193
"2038",324121,126.8885,35.1549,"공공시설지역",0,51
"4478",525141,127.3739,36.3724,"교통시설지역",0,50
"35014",238127,129.3081,35.5347,"주거지역",0,26
"5919",131191,126.8304,37.3221,"공공시설지역",0,30
"63811",131111,127.0105,37.2838,"공공시설지역",0,65
"6601",131441,127.5536,37.1375,"혼효림",0,151
"7454",131451,127.2526,38.1238,"위락시설지역",0,163
"6152",132113,127.7495,37.8571,"공공시설지역",0,90
"6821",632132,128.903,37.76,"상업지역",0,13
"6512",632122,127.9479,37.337,"공공시설지역",0,150
"7542",632421,128.3852,38.2874,"혼효림",18029.3885753229,662
"7503",132401,127.9586,38.2244,"혼효림",11032.9148864037,294
"4308",533112,127.4596,36.6404,"주거지역",0,72
"4371",633361,127.8047,36.7309,"공공시설지역",0,165
"3772",534461,126.1344,36.7382,"공공시설지역",0,16
"4124",534111,127.1521,36.8143,"주거지역",0,48
"4183",534433,127.7164,36.9765,"혼효림",0,362
"4271",534341,127.0309,36.5263,"공공시설지역",0,117
"2086",735111,127.1218,35.799,"공공시설지역",0,40
"1632",735132,126.9579,35.9483,"공공시설지역",0,27
"2252",735351,127.1863,35.6105,"침엽수림",0,212
"1019",336127,127.6524,34.7774,"밭",0,33
"993",336352,127.6977,34.9399,"공공시설지역",0,13
"4110",336111,126.3916,34.806,"주거지역",0,5
"5572",437371,129.287,36.4477,"과수원",0,103
"5361",437401,128.9278,36.1127,"주거지역",0,178
"5211",437131,128.0884,36.1446,"기타나지",0,84
"5001",437141,128.7281,36.5643,"공공시설지역",0,97
"3385",437115,129.36,35.9684,"공공시설지역",0,13
"3279",238141,128.644,35.2403,"혼효림",0,41
"1551",238191,128.5873,34.7101,"침엽수림",0,89
"2352",238481,127.9102,35.6432,"주거지역",0,202
"121",339312,126.1622,33.2925,"기타초지",0,55
